Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,No_Proc_Preffered,Combi_Task,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
99999.0,99999.0,99999,"(6, 7)","""Node1""","""Node2""","""Node1""","""Node1""","""Node3""","""Node2""","""Node1""","""Node4""","""Node3""","""Node4""","""Node4""","(0, 2, 2)",4,"(6, 7)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00510593831448134,0.0,4,"(5, 6)","""Node4""","""Node2""","""Node4""","""Node4""","""Node2""","""Node4""","""Node1""","""Node4""","""Node2""","""Node3""","""Node1""","(1, 0, 3)",4,"(5, 6)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(5, 8)","""Node3""","""Node1""","""Node3""","""Node3""","""Node4""","""Node2""","""Node1""","""Node2""","""Node2""","""Node4""","""Node4""","(1, 0, 3)",4,"(5, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(7, 8)","""Node1""","""Node1""","""Node1""","""Node1""","""Node4""","""Node2""","""Node3""","""Node1""","""Node2""","""Node3""","""Node4""","(1, 1, 2)",4,"(7, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00395215874585474,0.04582569601489482,5,"(5, 8)","""Node2""","""Node1""","""Node2""","""Node3""","""Node5""","""Node1""","""Node3""","""Node4""","""Node4""","""Node5""","""Node5""","(1, 3, 1)",5,"(5, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(5, 6)","""Node4""","""Node1""","""Node2""","""Node4""","""Node3""","""Node3""","""Node1""","""Node2""","""Node3""","""Node5""","""Node5""","(2, 2, 1)",5,"(5, 6)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00530874606635924,0.0,5,"(5, 8)","""Node2""","""Node2""","""Node4""","""Node4""","""Node3""","""Node2""","""Node4""","""Node2""","""Node5""","""Node3""","""Node1""","(2, 2, 1)",5,"(5, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00382789676142006,0.05125925631729696,6,"(6, 8)","""Node6""","""Node4""","""Node2""","""Node6""","""Node5""","""Node4""","""Node2""","""Node1""","""Node1""","""Node3""","""Node3""","(0, 1, 5)",6,"(6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00461543785273032,0.047218106618412914,4,"(5, 8)","""Node1""","""Node1""","""Node2""","""Node2""","""Node4""","""Node1""","""Node2""","""Node4""","""Node3""","""Node4""","""Node4""","(1, 2, 1)",4,"(5, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.0061695592358218,0.03965217159736484,5,"(6, 7)","""Node5""","""Node5""","""Node5""","""Node5""","""Node3""","""Node4""","""Node4""","""Node2""","""Node1""","""Node1""","""Node2""","(4, 1, 0)",5,"(6, 7)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
