Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,No_Proc_Preffered,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
99999,99999,99999,"(3, 3)","""Node2""","""Node2""","""Node6""","""Node6""","""Node3""","""Node1""","""Node6""","""Node5""","""Node1""","""Node3""","""Node1""","(0, 5, 1)",5,1.0,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,"""FCFS""","""FCFS""","""PB""","""PB""","""PB""","""PB"""
99999,99999,99999,"(7, 7)","""Node1""","""Node3""","""Node1""","""Node3""","""Node2""","""Node5""","""Node6""","""Node6""","""Node6""","""Node6""","""Node6""","(0, 5, 1)",5,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,"""PB""","""FCFS""","""PB""","""PB""","""PB""","""PB"""
99999,99999,99999,"(8, 8)","""Node6""","""Node6""","""Node3""","""Node2""","""Node6""","""Node6""","""Node3""","""Node2""","""Node5""","""Node1""","""Node5""","(0, 3, 3)",5,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB"""
