Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,"	MapTask8To",MapTask9To,MapTask10To,MapTask11To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank
0.004441058,0.044275365,6,"(7, 8)","""Node1""","""Node4""","""Node5""","""Node1""","""Node2""","""Node3""","""Node6""","""Node5""","""Node3""","""Node2""","""Node3""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""Adreno""",1,1,1,0.25,1,1,"""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""",3
0.004177296,0.044931171,6,"(3, 3)","""Node2""","""Node5""","""Node1""","""Node4""","""Node3""","""Node5""","""Node2""","""Node4""","""Node6""","""Node3""","""Node6""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""ARMv8""","""MIPS""",0.666666667,1,1,1,0.666666667,1,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",3
0.003811841,0.046293841,6,"(2, 2)","""Node6""","""Node2""","""Node6""","""Node1""","""Node3""","""Node4""","""Node6""","""Node1""","""Node4""","""Node5""","""Node4""","""Adreno""","""Adreno""","""Adreno""","""ARMv8""","""MIPS""","""Adreno""",1,1,0.666666667,1,0.5,1,"""PB""","""PB""","""FCFS""","""PB""","""PB""","""PB""",3
0.005563933,0.042130669,6,"(5, 8)","""Node5""","""Node3""","""Node4""","""Node5""","""Node6""","""Node1""","""Node5""","""Node1""","""Node2""","""Node1""","""Node1""","""MIPS""","""MIPS""","""Adreno""","""MIPS""","""ARMv8""","""MIPS""",1,0.666666667,0.666666667,0.666666667,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4
0.004966026,0.043929176,6,"(8, 8)","""Node1""","""Node3""","""Node1""","""Node6""","""Node4""","""Node3""","""Node1""","""Node2""","""Node3""","""Node2""","""Node5""","""MIPS""","""Adreno""","""Adreno""","""MIPS""","""Adreno""","""MIPS""",1,1,1,1,0.25,0.666666667,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""",4
0.004510789,0.044400659,6,"(7, 8)","""Node5""","""Node6""","""Node1""","""Node5""","""Node3""","""Node6""","""Node1""","""Node4""","""Node4""","""Node2""","""Node2""","""MIPS""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""ARMv8""",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""FCFS""","""PB""","""FCFS""",4
0.005713239,0.044017166,6,"(6, 8)","""Node6""","""Node6""","""Node1""","""Node2""","""Node6""","""Node3""","""Node2""","""Node4""","""Node5""","""Node3""","""Node3""","""ARMv8""","""ARMv8""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",0.666666667,1,1,0.25,1,1,"""PB""","""PB""","""PB""","""FCFS""","""PB""","""FCFS""",5
0.004711053,0.044486841,6,"(5, 8)","""Node4""","""Node5""","""Node3""","""Node5""","""Node2""","""Node6""","""Node5""","""Node5""","""Node6""","""Node1""","""Node1""","""ARMv8""","""ARMv8""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""",1,1,0.5,0.5,1,1,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""PB""",5
0.004599515,0.04504722,6,"(5, 8)","""Node5""","""Node6""","""Node4""","""Node2""","""Node1""","""Node6""","""Node4""","""Node2""","""Node1""","""Node3""","""Node1""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""ARMv8""","""ARMv8""",1,1,0.666666667,1,0.5,1,"""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""",5
0.005814635,0.044383367,6,"(6, 6)","""Node1""","""Node1""","""Node5""","""Node1""","""Node4""","""Node2""","""Node5""","""Node2""","""Node3""","""Node6""","""Node3""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""ARMv8""",1,1,0.666666667,0.666666667,0.666666667,0.25,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS""",6
0.004920031,0.044692882,6,"(6, 6)","""Node1""","""Node5""","""Node2""","""Node6""","""Node3""","""Node4""","""Node1""","""Node6""","""Node4""","""Node3""","""Node4""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""","""ARMv8""","""MIPS""",1,0.666666667,1,1,0.666666667,1,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS""",6
0.004885345,0.044705573,6,"(2, 2)","""Node6""","""Node2""","""Node4""","""Node5""","""Node1""","""Node6""","""Node4""","""Node5""","""Node3""","""Node1""","""Node3""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""ARMv8""","""Adreno""",1,0.666666667,0.666666667,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6
0.004612659,0.045087997,6,"(7, 8)","""Node4""","""Node3""","""Node2""","""Node4""","""Node1""","""Node3""","""Node6""","""Node4""","""Node6""","""Node6""","""Node5""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""","""MIPS""",1,0.5,1,1,0.25,1,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",6
0.005106129,0.045250686,6,"(7, 8)","""Node3""","""Node6""","""Node1""","""Node2""","""Node5""","""Node6""","""Node2""","""Node4""","""Node4""","""Node5""","""Node5""","""ARMv8""","""Adreno""","""MIPS""","""Adreno""","""MIPS""","""ARMv8""",1,1,0.5,1,1,1,"""PB""","""PB""","""FCFS""","""PB""","""PB""","""PB""",7
0.004928497,0.04553946,6,"(8, 8)","""Node6""","""Node3""","""Node2""","""Node4""","""Node6""","""Node5""","""Node2""","""Node4""","""Node1""","""Node4""","""Node1""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""","""Adreno""",0.5,1,1,1,0.666666667,1,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS""",7
0.004851168,0.045584689,6,"(8, 8)","""Node5""","""Node3""","""Node2""","""Node5""","""Node6""","""Node1""","""Node2""","""Node4""","""Node6""","""Node4""","""Node4""","""Adreno""","""ARMv8""","""Adreno""","""Adreno""","""Adreno""","""MIPS""",0.666666667,1,0.25,0.666666667,0.666666667,1,"""FCFS""","""FCFS""","""PB""","""PB""","""PB""","""PB""",7
0.005432277,0.045454368,6,"(2, 2)","""Node6""","""Node5""","""Node4""","""Node6""","""Node1""","""Node5""","""Node4""","""Node3""","""Node1""","""Node2""","""Node2""","""Adreno""","""MIPS""","""Adreno""","""Adreno""","""Adreno""","""Adreno""",1,0.25,0.666666667,1,1,1,"""PB""","""FCFS""","""PB""","""PB""","""PB""","""FCFS""",8
0.005032516,0.04665006,6,"(8, 8)","""Node6""","""Node1""","""Node6""","""Node3""","""Node2""","""Node1""","""Node1""","""Node5""","""Node5""","""Node5""","""Node4""","""ARMv8""","""ARMv8""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",1,0.666666667,0.666666667,0.25,1,0.5,"""PB""","""PB""","""PB""","""PB""","""PB""","""FCFS""",8
0.00553788,0.045920681,6,"(8, 8)","""Node3""","""Node4""","""Node3""","""Node6""","""Node2""","""Node5""","""Node3""","""Node6""","""Node2""","""Node5""","""Node1""","""MIPS""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""",0.25,1,1,0.666666667,1,1,"""FCFS""","""FCFS""","""FCFS""","""PB""","""PB""","""PB""",9
