Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
0.005375161,0.051673080999999996,4,"(5, 5)","""Node6""","""Node3""","""Node2""","""Node2""","""Node6""","""Node3""","""Node4""","""Node2""","""Node4""","""Node4""","""Node4""","""Adreno""","""ARMv8""","""ARMv8""","""MIPS""","""ARMv8""","""ARMv8""",1.0,1.0,1.0,1.0,0.666666667,1.0,"""PB""","""FCFS""","""PB""","""PB""","""PB""","""PB"""
0.00400279,0.040588813,5,"(7, 8)","""Node1""","""Node3""","""Node1""","""Node2""","""Node5""","""Node3""","""Node6""","""Node2""","""Node6""","""Node6""","""Node6""","""Adreno""","""Adreno""","""MIPS""","""ARMv8""","""MIPS""","""MIPS""",1.0,1.0,1.0,0.25,1.0,1.0,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(2, 2)","""Node4""","""Node4""","""Node2""","""Node1""","""Node4""","""Node3""","""Node2""","""Node1""","""Node3""","""Node3""","""Node3""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""Adreno""","""MIPS""",0.666666667,1.0,1.0,1.0,0.5,0.25,"""FCFS""","""PB""","""FCFS""","""PB""","""PB""","""FCFS"""
0.005043267,0.046448128,4,"(7, 7)","""Node2""","""Node1""","""Node6""","""Node2""","""Node4""","""Node1""","""Node6""","""Node2""","""Node4""","""Node6""","""Node4""","""Adreno""","""MIPS""","""Adreno""","""ARMv8""","""Adreno""","""MIPS""",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""FCFS""","""PB""","""FCFS""","""PB"""
0.004001221,0.041959853,5,"(5, 5)","""Node4""","""Node2""","""Node2""","""Node4""","""Node6""","""Node3""","""Node1""","""Node2""","""Node6""","""Node1""","""Node6""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",1.0,1.0,0.666666667,1.0,0.5,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB"""
0.00516831,0.046472466,6,"(2, 2)","""Node5""","""Node6""","""Node5""","""Node4""","""Node1""","""Node2""","""Node5""","""Node3""","""Node2""","""Node2""","""Node2""","""MIPS""","""ARMv8""","""ARMv8""","""Adreno""","""MIPS""","""Adreno""",1.0,1.0,0.666666667,0.666666667,1.0,0.25,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""PB"""
99999.0,99999.0,99999,"(7, 8)","""Node6""","""Node6""","""Node4""","""Node6""","""Node5""","""Node1""","""Node4""","""Node6""","""Node1""","""Node4""","""Node4""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""",1.0,0.25,0.666666667,1.0,0.666666667,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""","""PB"""
99999.0,99999.0,99999,"(7, 7)","""Node6""","""Node1""","""Node4""","""Node3""","""Node6""","""Node1""","""Node1""","""Node3""","""Node1""","""Node3""","""Node3""","""MIPS""","""ARMv8""","""ARMv8""","""ARMv8""","""ARMv8""","""MIPS""",1.0,0.25,1.0,0.666666667,0.5,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(4, 4)","""Node4""","""Node1""","""Node3""","""Node4""","""Node6""","""Node1""","""Node3""","""Node1""","""Node6""","""Node6""","""Node6""","""ARMv8""","""MIPS""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""",1.0,0.666666667,0.5,1.0,0.666666667,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
0.004625224,0.041012652000000004,6,"(6, 6)","""Node4""","""Node2""","""Node4""","""Node4""","""Node5""","""Node2""","""Node1""","""Node3""","""Node6""","""Node1""","""Node6""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""",1.0,1.0,0.666666667,1.0,1.0,0.666666667,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(5, 8)","""Node4""","""Node4""","""Node4""","""Node3""","""Node3""","""Node5""","""Node4""","""Node4""","""Node2""","""Node3""","""Node3""","""Adreno""","""ARMv8""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""",0.25,1.0,1.0,1.0,1.0,0.5,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""PB"""
