,Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,Config,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
8,0.00402205637948724,0.04014581329447783,6,"(1, 1)","""Node5""","""Node4""","""Node2""","""Node5""","""Node6""","""Node4""","""Node3""","""Node1""","""Node6""","""Node3""","""Node1""",7,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
9,0.00383133201399606,0.04284730312115979,6,"(1, 1)","""Node3""","""Node1""","""Node6""","""Node3""","""Node4""","""Node1""","""Node5""","""Node6""","""Node4""","""Node2""","""Node5""",20,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""PB""","""PB""","""PB"""
10,99999.0,99999.0,99999,"(5, 6)","""Node4""","""Node2""","""Node4""","""Node4""","""Node2""","""Node4""","""Node1""","""Node4""","""Node3""","""Node3""","""Node1""",28,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
11,0.00438609100706306,0.04043219036589415,6,"(1, 1)","""Node6""","""Node4""","""Node1""","""Node6""","""Node5""","""Node2""","""Node4""","""Node1""","""Node2""","""Node1""","""Node3""",20,1.0,1.0,0.25,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
12,0.003975560821911471,0.04224173699115032,6,"(1, 1)","""Node5""","""Node5""","""Node3""","""Node5""","""Node4""","""Node2""","""Node6""","""Node1""","""Node4""","""Node6""","""Node1""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB"""
13,0.0039404081024071395,0.051174847837268965,6,"(1, 1)","""Node5""","""Node3""","""Node2""","""Node5""","""Node6""","""Node3""","""Node1""","""Node4""","""Node6""","""Node1""","""Node4""",6,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
14,0.0039541706494273104,0.03952982514069901,6,"(1, 1)","""Node6""","""Node6""","""Node2""","""Node6""","""Node4""","""Node1""","""Node5""","""Node2""","""Node3""","""Node1""","""Node3""",7,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS"""
15,0.004514048039171071,0.0,5,"(7, 8)","""Node3""","""Node1""","""Node3""","""Node3""","""Node4""","""Node1""","""Node2""","""Node3""","""Node5""","""Node2""","""Node4""",14,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
16,0.00443322077739934,0.042073795923123436,6,"(1, 1)","""Node1""","""Node4""","""Node1""","""Node3""","""Node6""","""Node4""","""Node5""","""Node2""","""Node6""","""Node5""","""Node2""",20,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
17,0.0037788568722711296,0.040844383775368566,6,"(1, 1)","""Node5""","""Node1""","""Node2""","""Node1""","""Node4""","""Node6""","""Node2""","""Node3""","""Node6""","""Node3""","""Node3""",20,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
0,99999.0,99999.0,99999,"(3, 4)","""Node3""","""Node5""","""Node3""","""Node3""","""Node4""","""Node5""","""Node1""","""Node3""","""Node6""","""Node2""","""Node2""",8,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
1,0.004621841943589829,0.0419801656171957,6,"(1, 1)","""Node1""","""Node4""","""Node2""","""Node1""","""Node5""","""Node4""","""Node6""","""Node2""","""Node5""","""Node6""","""Node3""",20,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
2,0.0054025818601598895,0.04200285815021497,5,"(1, 1)","""Node5""","""Node5""","""Node1""","""Node2""","""Node4""","""Node5""","""Node3""","""Node1""","""Node4""","""Node3""","""Node4""",20,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB"""
3,0.00411766331020415,0.05401628049509506,4,"(1, 1)","""Node4""","""Node3""","""Node4""","""Node2""","""Node1""","""Node3""","""Node4""","""Node2""","""Node3""","""Node2""","""Node2""",0,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB"""
4,0.0035912158367447295,0.05598975300490701,5,"(1, 1)","""Node3""","""Node5""","""Node1""","""Node3""","""Node6""","""Node5""","""Node4""","""Node1""","""Node6""","""Node4""","""Node4""",23,1.0,0.25,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS"""
5,0.00379835780700308,0.04343561411178168,5,"(1, 1)","""Node3""","""Node5""","""Node1""","""Node3""","""Node6""","""Node4""","""Node5""","""Node1""","""Node4""","""Node6""","""Node6""",20,1.0,0.5,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB"""
6,99999.0,99999.0,99999,"(3, 4)","""Node1""","""Node6""","""Node1""","""Node4""","""Node4""","""Node5""","""Node6""","""Node1""","""Node2""","""Node3""","""Node3""",27,1.0,1.0,1.0,0.5,1.0,1.0,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB"""
7,0.0034819041575858,0.04298542419771005,5,"(1, 1)","""Node1""","""Node2""","""Node4""","""Node1""","""Node6""","""Node2""","""Node5""","""Node4""","""Node6""","""Node5""","""Node6""",20,1.0,1.0,0.25,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
8,0.004305135219590471,0.04130026564700713,6,"(1, 1)","""Node5""","""Node2""","""Node5""","""Node5""","""Node4""","""Node6""","""Node3""","""Node2""","""Node3""","""Node3""","""Node1""",20,0.5,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB"""
