Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank
0.003398988,0.043728515,4,"(8, 8)","""Node3""","""Node1""","""Node3""","""Node5""","""Node6""","""Node1""","""Node3""","""Node5""","""Node6""","""Node5""","""Node6""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.25,1.0,0.25,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""",5
0.005147953,0.043757741,5,"(6, 6)","""Node4""","""Node3""","""Node4""","""Node4""","""Node5""","""Node6""","""Node3""","""Node3""","""Node1""","""Node3""","""Node6""","""ARMv8""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""",26
0.004798498,0.0437745,4,"(8, 8)","""Node1""","""Node5""","""Node1""","""Node3""","""Node6""","""Node5""","""Node1""","""Node3""","""Node6""","""Node3""","""Node6""","""MIPS""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""PB""",17
0.005727404,0.043776808,5,"(5, 8)","""Node5""","""Node6""","""Node5""","""Node5""","""Node1""","""Node3""","""Node6""","""Node4""","""Node1""","""Node4""","""Node1""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""MIPS""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""PB""","""FCFS""","""PB""","""PB""","""PB""",32
0.003798761,0.043779097,6,"(7, 7)","""Node1""","""Node3""","""Node2""","""Node1""","""Node4""","""Node3""","""Node1""","""Node5""","""Node4""","""Node5""","""Node6""","""ARMv8""","""Adreno""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",1.0,1.0,0.666666667,1.0,0.666666667,0.5,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB""",16
0.004292743,0.043871237,5,"(2, 2)","""Node6""","""Node5""","""Node3""","""Node1""","""Node4""","""Node5""","""Node3""","""Node1""","""Node4""","""Node1""","""Node4""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""Adreno""",1.0,0.25,1.0,1.0,1.0,0.5,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB""",19
0.005463559000000001,0.043881721,5,"(5, 7)","""Node3""","""Node4""","""Node2""","""Node3""","""Node1""","""Node4""","""Node2""","""Node6""","""Node1""","""Node6""","""Node1""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",1.0,1.0,0.666666667,1.0,0.5,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""",29
0.004423446,0.043884092,4,"(5, 8)","""Node2""","""Node2""","""Node2""","""Node5""","""Node5""","""Node6""","""Node2""","""Node5""","""Node1""","""Node6""","""Node6""","""MIPS""","""Adreno""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""",15
0.0034417040000000003,0.043919618,4,"(3, 3)","""Node6""","""Node3""","""Node6""","""Node5""","""Node1""","""Node3""","""Node6""","""Node5""","""Node1""","""Node5""","""Node1""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB""",6
0.003383906,0.043929867,5,"(7, 8)","""Node3""","""Node3""","""Node2""","""Node4""","""Node1""","""Node3""","""Node2""","""Node4""","""Node2""","""Node6""","""Node6""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",1.0,1.0,1.0,1.0,0.5,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS""",8
