Latency,PowerConsumption,Number of Processors,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
0.00361080552681659,0.039327898242241255,6,"""Node1""","""Node3""","""Node5""","""Node1""","""Node6""","""Node4""","""Node5""","""Node2""","""Node5""","""Node2""","""Node2""","""Adreno""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",1.0,1.0,0.6666666666666666,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"""Node1""","""Node5""","""Node2""","""Node1""","""Node6""","""Node5""","""Node2""","""Node1""","""Node6""","""Node2""","""Node6""","""MIPS""","""Adreno""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"""Node2""","""Node1""","""Node4""","""Node5""","""Node2""","""Node1""","""Node4""","""Node5""","""Node1""","""Node5""","""Node1""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""","""Adreno""",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS"""
99999.0,99999.0,99999,"""Node2""","""Node5""","""Node4""","""Node2""","""Node5""","""Node5""","""Node6""","""Node2""","""Node5""","""Node2""","""Node5""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""","""Adreno""","""ARMv8""",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
0.00545464082341545,0.04996187112728342,6,"""Node4""","""Node5""","""Node2""","""Node1""","""Node4""","""Node3""","""Node6""","""Node1""","""Node6""","""Node5""","""Node5""","""ARMv8""","""Adreno""","""Adreno""","""ARMv8""","""ARMv8""","""MIPS""",1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""PB"""
0.00460871666153872,0.03879848513229303,6,"""Node1""","""Node5""","""Node3""","""Node1""","""Node2""","""Node4""","""Node5""","""Node6""","""Node1""","""Node2""","""Node1""","""MIPS""","""MIPS""","""MIPS""","""ARMv8""","""MIPS""","""MIPS""",1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""FCFS"""
99999.0,99999.0,99999,"""Node2""","""Node5""","""Node4""","""Node2""","""Node3""","""Node5""","""Node4""","""Node2""","""Node5""","""Node3""","""Node5""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB"""
99999.0,99999.0,99999,"""Node6""","""Node6""","""Node5""","""Node2""","""Node3""","""Node6""","""Node6""","""Node2""","""Node6""","""Node6""","""Node6""","""ARMv8""","""ARMv8""","""ARMv8""","""ARMv8""","""ARMv8""","""MIPS""",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,"""FCFS""","""PB""","""FCFS""","""PB""","""PB""","""FCFS"""
0.0040943474610791895,0.042522191467601035,5,"""Node3""","""Node1""","""Node2""","""Node3""","""Node5""","""Node6""","""Node2""","""Node3""","""Node1""","""Node1""","""Node1""","""MIPS""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""MIPS""",1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,"""FCFS""","""PB""","""FCFS""","""PB""","""FCFS""","""PB"""
0.0048755015024530895,0.043588281106080214,6,"""Node1""","""Node4""","""Node2""","""Node5""","""Node6""","""Node3""","""Node1""","""Node5""","""Node1""","""Node6""","""Node6""","""Adreno""","""Adreno""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""PB""","""PB""","""FCFS"""
0.00423630167572447,0.04565199631941692,5,"""Node2""","""Node5""","""Node3""","""Node2""","""Node1""","""Node4""","""Node5""","""Node2""","""Node3""","""Node1""","""Node3""","""ARMv8""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""ARMv8""",1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""PB"""
99999.0,99999.0,99999,"""Node1""","""Node3""","""Node6""","""Node1""","""Node4""","""Node3""","""Node1""","""Node6""","""Node1""","""Node6""","""Node6""","""MIPS""","""Adreno""","""MIPS""","""ARMv8""","""ARMv8""","""MIPS""",1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,"""PB""","""PB""","""FCFS""","""PB""","""PB""","""FCFS"""
0.00550218384721359,0.0406641463567135,5,"""Node4""","""Node1""","""Node6""","""Node4""","""Node2""","""Node1""","""Node3""","""Node6""","""Node4""","""Node3""","""Node4""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""MIPS""",0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
