Latency (s),Energy Consumption (j),Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,No_Proc_Preffered,Combi_Task,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank,no_1.0_VSFS,no_MIPS,no_Adreno,no_ARMv8
0.0033509151869564303,0.04104371041283004,4,No Transfrom,"""Node2""","""Node2""","""Node4""","""Node2""","""Node3""","""Node1""","""Node4""","""Node4""","""Node3""","""Node1""","""Node3""","(1, 2, 1)",4,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1.0,1,2,1
0.00447839751241201,0.04581672369715036,5,No Transfrom,"""Node5""","""Node2""","""Node5""","""Node5""","""Node1""","""Node3""","""Node2""","""Node4""","""Node3""","""Node2""","""Node4""","(4, 0, 1)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,1.0,4,0,1
0.00323338231355363,0.053439806361371335,5,No Transfrom,"""Node3""","""Node2""","""Node4""","""Node3""","""Node5""","""Node1""","""Node2""","""Node4""","""Node1""","""Node5""","""Node5""","(4, 1, 0)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1.0,4,1,0
0.00305875937218071,0.05073337051620986,6,No Transfrom,"""Node1""","""Node4""","""Node1""","""Node6""","""Node3""","""Node2""","""Node4""","""Node6""","""Node5""","""Node5""","""Node5""","(0, 3, 3)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1.0,0,3,3
0.0034344212666006,0.052296494409796994,6,No Transfrom,"""Node4""","""Node4""","""Node6""","""Node4""","""Node3""","""Node5""","""Node2""","""Node6""","""Node1""","""Node2""","""Node1""","(1, 1, 4)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,1.0,1,1,4
0.0037203022040916797,0.04838361695741058,6,No Transfrom,"""Node6""","""Node1""","""Node6""","""Node6""","""Node2""","""Node1""","""Node4""","""Node5""","""Node3""","""Node5""","""Node5""","(1, 4, 1)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,1.0,1,4,1
0.00340992048299372,0.04411990762569759,6,No Transfrom,"""Node3""","""Node1""","""Node6""","""Node3""","""Node4""","""Node2""","""Node1""","""Node6""","""Node5""","""Node2""","""Node5""","(1, 5, 0)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1.0,1,5,0
0.00373933060235106,0.04420735689328598,6,No Transfrom,"""Node1""","""Node4""","""Node3""","""Node1""","""Node6""","""Node4""","""Node5""","""Node3""","""Node2""","""Node5""","""Node5""","(2, 4, 0)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,1.0,2,4,0
0.0034430136522245,0.042262869193520826,6,No Transfrom,"""Node6""","""Node5""","""Node4""","""Node6""","""Node3""","""Node5""","""Node1""","""Node4""","""Node2""","""Node1""","""Node2""","(3, 3, 0)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1.0,3,3,0
0.00447121235898446,0.040784110445404566,6,No Transfrom,"""Node6""","""Node6""","""Node5""","""Node6""","""Node4""","""Node1""","""Node2""","""Node5""","""Node3""","""Node1""","""Node2""","(6, 0, 0)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1.0,6,0,0
0.00333332451502837,0.05336653308049975,5,No Transfrom,"""Node3""","""Node3""","""Node5""","""Node3""","""Node4""","""Node2""","""Node1""","""Node5""","""Node2""","""Node4""","""Node2""","(0, 5, 0)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,1.0,0,5,0
0.00374536896104901,0.048019664911839184,5,No Transfrom,"""Node2""","""Node4""","""Node1""","""Node2""","""Node5""","""Node3""","""Node4""","""Node1""","""Node3""","""Node4""","""Node3""","(1, 1, 3)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,1.0,1,1,3
0.00361035139165176,0.04620124305368719,5,No Transfrom,"""Node2""","""Node2""","""Node1""","""Node2""","""Node3""","""Node4""","""Node5""","""Node1""","""Node4""","""Node3""","""Node4""","(1, 4, 0)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1.0,1,4,0
0.00419236660140865,0.044749229980826935,5,No Transfrom,"""Node4""","""Node4""","""Node1""","""Node4""","""Node5""","""Node3""","""Node2""","""Node1""","""Node5""","""Node3""","""Node3""","(2, 3, 0)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,1.0,2,3,0
0.00390489949230775,0.04124106606520595,5,No Transfrom,"""Node3""","""Node2""","""Node5""","""Node3""","""Node4""","""Node1""","""Node2""","""Node5""","""Node4""","""Node1""","""Node4""","(3, 0, 2)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1.0,3,0,2
0.0037962413424961297,0.053588348708036485,6,No Transfrom,"""Node4""","""Node4""","""Node2""","""Node4""","""Node3""","""Node5""","""Node1""","""Node6""","""Node5""","""Node1""","""Node1""","(0, 2, 4)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",7,1.0,0,2,4
0.00338981632895253,0.04992031934020787,6,No Transfrom,"""Node1""","""Node1""","""Node3""","""Node4""","""Node6""","""Node2""","""Node3""","""Node5""","""Node6""","""Node5""","""Node5""","(0, 4, 2)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,1.0,0,4,2
0.00334072427262317,0.04596070941239922,6,No Transfrom,"""Node3""","""Node5""","""Node3""","""Node4""","""Node6""","""Node5""","""Node2""","""Node1""","""Node2""","""Node1""","""Node1""","(1, 3, 2)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,1.0,1,3,2
0.00313608278316022,0.04929431157109634,6,No Transfrom,"""Node5""","""Node6""","""Node4""","""Node5""","""Node1""","""Node6""","""Node4""","""Node2""","""Node3""","""Node2""","""Node3""","(2, 0, 4)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1.0,2,0,4
