Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank,no_1.0_VSFS,no_MIPS,no_Adreno,no_ARMv8
0.00573070920722606,0.039408725074369336,4,"(3, 4)","""Node2""","""Node3""","""Node2""","""Node2""","""Node1""","""Node3""","""Node4""","""Node2""","""Node3""","""Node1""","""Node1""","(1, 0, 3)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",3,1.0,1,0,3
0.00479851102565131,0.0416247983132891,6,"(1, 1)","""Node2""","""Node3""","""Node2""","""Node6""","""Node4""","""Node1""","""Node2""","""Node6""","""Node5""","""Node5""","""Node5""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",25,0.16666666666666666,3,3,0
0.00579270203357281,0.040862865374042885,6,"(1, 1)","""Node3""","""Node5""","""Node2""","""Node3""","""Node4""","""Node5""","""Node1""","""Node2""","""Node6""","""Node1""","""Node6""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""FCFS""",20,0.3333333333333333,3,3,0
0.00602671002823571,0.03878907060681761,6,"(6, 8)","""Node6""","""Node1""","""Node6""","""Node6""","""Node2""","""Node5""","""Node4""","""Node1""","""Node2""","""Node5""","""Node3""","(6, 0, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",10,0.3333333333333333,6,0,0
0.00454835823469389,0.0527338018216149,6,"(1, 1)","""Node3""","""Node4""","""Node2""","""Node3""","""Node6""","""Node5""","""Node4""","""Node1""","""Node5""","""Node6""","""Node5""","(0, 0, 6)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB""",35,0.3333333333333333,0,0,6
0.004769637475757611,0.04211099778976593,6,"(1, 1)","""Node6""","""Node5""","""Node3""","""Node6""","""Node4""","""Node5""","""Node2""","""Node1""","""Node4""","""Node2""","""Node1""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",32,0.5,3,3,0
0.0039916556224589795,0.05337256141309491,6,"(1, 1)","""Node4""","""Node1""","""Node4""","""Node5""","""Node3""","""Node6""","""Node1""","""Node5""","""Node6""","""Node2""","""Node2""","(0, 0, 6)",0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""",27,0.5,0,0,6
0.0047021292228330005,0.0415092815175506,6,"(1, 1)","""Node5""","""Node5""","""Node1""","""Node5""","""Node6""","""Node4""","""Node3""","""Node2""","""Node6""","""Node3""","""Node2""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",23,0.3333333333333333,3,3,0
0.00444956276924079,0.04254153905372885,6,"(1, 1)","""Node3""","""Node4""","""Node1""","""Node5""","""Node6""","""Node2""","""Node4""","""Node5""","""Node2""","""Node6""","""Node6""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",29,0.3333333333333333,3,3,0
0.00553623280122319,0.04194494207370168,6,"(1, 1)","""Node3""","""Node2""","""Node1""","""Node3""","""Node6""","""Node5""","""Node4""","""Node2""","""Node6""","""Node5""","""Node4""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",30,0.3333333333333333,3,3,0
0.00605688889544815,0.04196016966819309,6,"(1, 1)","""Node2""","""Node6""","""Node6""","""Node3""","""Node5""","""Node1""","""Node4""","""Node3""","""Node5""","""Node4""","""Node5""","(3, 3, 0)",0.6666666666666666,0.25,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",31,0.5,3,3,0
0.00488843111401619,0.04129327603691723,5,"(1, 1)","""Node5""","""Node5""","""Node5""","""Node5""","""Node6""","""Node3""","""Node2""","""Node1""","""Node2""","""Node2""","""Node2""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.25,1.0,0.6666666666666666,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",10,0.16666666666666666,3,3,0
0.00553195630145866,0.04232222024836976,6,"(1, 1)","""Node6""","""Node2""","""Node6""","""Node6""","""Node4""","""Node5""","""Node1""","""Node3""","""Node5""","""Node3""","""Node3""","(3, 3, 0)",0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""",36,0.5,3,3,0
0.00480407490723568,0.05040419225154066,6,"(1, 1)","""Node3""","""Node1""","""Node2""","""Node5""","""Node6""","""Node4""","""Node1""","""Node2""","""Node4""","""Node6""","""Node6""","(0, 3, 3)",0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",38,0.5,0,3,3
0.00450641597146949,0.04114735464771562,6,"(1, 1)","""Node5""","""Node6""","""Node5""","""Node5""","""Node4""","""Node6""","""Node1""","""Node3""","""Node2""","""Node3""","""Node3""","(3, 3, 0)",0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",20,0.5,3,3,0
0.00563103922960379,0.04193210587988186,6,"(1, 1)","""Node4""","""Node6""","""Node2""","""Node4""","""Node5""","""Node6""","""Node1""","""Node2""","""Node5""","""Node1""","""Node3""","(3, 3, 0)",0.6666666666666666,1.0,0.25,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""",30,0.3333333333333333,3,3,0
0.00370045554243428,0.04230223515488611,6,"(1, 1)","""Node5""","""Node5""","""Node3""","""Node5""","""Node1""","""Node4""","""Node2""","""Node6""","""Node2""","""Node6""","""Node6""","(3, 3, 0)",1.0,1.0,0.6666666666666666,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",15,0.5,3,3,0
0.00610250420675983,0.04209111048418802,6,"(1, 1)","""Node3""","""Node2""","""Node1""","""Node3""","""Node5""","""Node2""","""Node6""","""Node4""","""Node5""","""Node2""","""Node5""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",34,0.16666666666666666,3,3,0
0.00503108435222451,0.04269780590866727,6,"(1, 1)","""Node4""","""Node2""","""Node6""","""Node4""","""Node5""","""Node3""","""Node2""","""Node6""","""Node5""","""Node1""","""Node5""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",38,0.3333333333333333,3,3,0
0.0044467320319447395,0.04256999993619658,6,"(1, 1)","""Node1""","""Node3""","""Node1""","""Node6""","""Node2""","""Node5""","""Node3""","""Node6""","""Node2""","""Node4""","""Node4""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""",29,0.3333333333333333,3,3,0
0.00397877996271401,0.04219516976526437,6,"(1, 1)","""Node5""","""Node5""","""Node3""","""Node5""","""Node2""","""Node4""","""Node1""","""Node6""","""Node2""","""Node1""","""Node6""","(3, 3, 0)",1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",18,0.3333333333333333,3,3,0
0.00450128821447229,0.04197486421668234,6,"(1, 1)","""Node4""","""Node4""","""Node2""","""Node2""","""Node5""","""Node1""","""Node6""","""Node3""","""Node5""","""Node6""","""Node6""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",27,0.3333333333333333,3,3,0
0.00477989804296054,0.04200458621670816,6,"(1, 1)","""Node2""","""Node2""","""Node1""","""Node2""","""Node6""","""Node5""","""Node3""","""Node1""","""Node6""","""Node3""","""Node4""","(3, 3, 0)",1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",30,0.3333333333333333,3,3,0
0.00575500008195891,0.04129300330114074,6,"(1, 1)","""Node6""","""Node2""","""Node1""","""Node5""","""Node6""","""Node2""","""Node4""","""Node5""","""Node3""","""Node4""","""Node4""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""PB""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""",26,0.3333333333333333,3,3,0
0.0035710447347038795,0.05324571574630657,5,"(1, 1)","""Node3""","""Node1""","""Node5""","""Node3""","""Node4""","""Node2""","""Node1""","""Node5""","""Node2""","""Node5""","""Node2""","(2, 2, 1)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",9,0.4,2,2,1
0.0042863251205937395,0.0516691454937234,6,"(1, 1)","""Node5""","""Node3""","""Node4""","""Node5""","""Node6""","""Node2""","""Node1""","""Node4""","""Node6""","""Node2""","""Node1""","(0, 3, 3)",0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",30,0.5,0,3,3
0.00352321959511492,0.04119554324522942,6,"(1, 1)","""Node6""","""Node5""","""Node3""","""Node6""","""Node2""","""Node5""","""Node4""","""Node1""","""Node4""","""Node4""","""Node4""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""FCFS""","""PB""",8,0.5,3,3,0
0.00551121153179165,0.042935677162766674,6,"(1, 1)","""Node4""","""Node3""","""Node6""","""Node4""","""Node2""","""Node5""","""Node1""","""Node6""","""Node5""","""Node2""","""Node1""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""",42,0.3333333333333333,3,3,0
0.0062770234466204,0.04287510548368046,6,"(1, 1)","""Node1""","""Node3""","""Node6""","""Node1""","""Node2""","""Node5""","""Node4""","""Node6""","""Node5""","""Node4""","""Node2""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""",40,0.3333333333333333,3,3,0
